Ogs,name_strain,name_gene,direction,start,end
29866059,Yersinia pestis Angola,YpAngola_A3394,forward,3611826,3612410
29866059,Yersinia pestis Antiqua,YPA_3426,forward,3824799,3825350
29866059,Yersinia pestis CO92,YPO3757,forward,4213921,4214472
29866059,Yersinia pestis D106004,YPD4_3307,forward,4200869,4201327
29866059,Yersinia pestis D182038,YPD8_3308,forward,4186895,4187353
29866059,Yersinia pestis KIM,y0474,reverse,531243,531827
29866059,Yersinia pestis Nepal516,YPN_0208,reverse,259226,259777
29866059,Yersinia pestis Pestoides F,YPDSF_3378,forward,3872591,3873142
29866059,Yersinia pestis Z176003,YPZ3_3316,forward,4260808,4261266
29866059,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_0490,reverse,464676,465227
29866059,Yersinia pestis biovar Microtus str. 91001,YP_3291,reverse,3674363,3674914
29866059,Yersinia pseudotuberculosis IP 31758,YpsIP31758_3868,forward,4360378,4360923
29866059,Yersinia pseudotuberculosis IP 32953,YPTB0275,reverse,329278,329829
29866059,Yersinia pseudotuberculosis PB1/+,YPTS_0293,reverse,323605,324156
29866059,Yersinia pseudotuberculosis YPIII,YPK_0329,reverse,352831,353382
29866144,Yersinia pestis A1122,A1122_03260,reverse,717986,718927
29866144,Yersinia pestis Angola,YpAngola_A0700,reverse,707119,708060
29866144,Yersinia pestis Antiqua,YPA_3912,reverse,4404237,4405178
29866144,Yersinia pestis CO92,YPO0372,forward,386887,387828
29866144,Yersinia pestis D106004,YPD4_0323,forward,382731,383672
29866144,Yersinia pestis D182038,YPD8_0326,forward,384738,385310
29866144,Yersinia pestis KIM,y0629,forward,712247,713188
29866144,Yersinia pestis Nepal516,YPN_3299,reverse,3758471,3759412
29866144,Yersinia pestis Pestoides F,YPDSF_3602,reverse,4136971,4137912
29866144,Yersinia pestis Z176003,YPZ3_0371,forward,440387,441328
29866144,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_0627,reverse,609782,610723
29866144,Yersinia pestis biovar Microtus str. 91001,YP_0528,forward,567203,568144
29866144,Yersinia pseudotuberculosis IP 31758,YpsIP31758_3654,reverse,4118452,4119393
29866144,Yersinia pseudotuberculosis IP 32953,YPTB0424,forward,508187,509128
29866144,Yersinia pseudotuberculosis PB1/+,YPTS_0452,forward,502566,503507
29866144,Yersinia pseudotuberculosis YPIII,YPK_3800,reverse,4186723,4187664
29866154,Yersinia pestis A1122,A1122_03205,reverse,705423,707066
29866154,Yersinia pestis Angola,YpAngola_A0687,reverse,692597,694240
29866154,Yersinia pestis Antiqua,YPA_3902,reverse,4391674,4393317
29866154,Yersinia pestis CO92,YPO0383,forward,398748,400391
29866154,Yersinia pestis D106004,YPD4_0333,forward,394401,396044
29866154,Yersinia pestis D182038,YPD8_0335,forward,396600,398243
29866154,Yersinia pestis KIM,y0639,forward,724108,725751
29866154,Yersinia pestis Nepal516,YPN_3289,reverse,3745908,3747551
29866154,Yersinia pestis Pestoides F,YPDSF_3592,reverse,4124427,4126070
29866154,Yersinia pestis Z176003,YPZ3_0380,forward,452248,453891
29866154,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_0615,reverse,597219,598862
29866154,Yersinia pestis biovar Microtus str. 91001,YP_0538,forward,579064,580707
29866154,Yersinia pseudotuberculosis IP 31758,YpsIP31758_3643,reverse,4105866,4107509
29866154,Yersinia pseudotuberculosis IP 32953,YPTB0434,forward,520072,521715
29866154,Yersinia pseudotuberculosis PB1/+,YPTS_0464,forward,514451,516094
29866154,Yersinia pseudotuberculosis YPIII,YPK_3788,reverse,4174130,4175773
29866416,Yersinia pestis A1122,A1122_08795,reverse,1933121,1934518
29866416,Yersinia pestis Angola,YpAngola_A1037,forward,1061631,1063028
29866416,Yersinia pestis Antiqua,YPA_2923,forward,3257236,3258633
29866416,Yersinia pestis CO92,YPO3421,forward,3824787,3826184
29866416,Yersinia pestis D106004,YPD4_3005,forward,3815582,3816979
29866416,Yersinia pestis D182038,YPD8_3005,forward,3801630,3803027
29866416,Yersinia pestis KIM,y0765,reverse,852372,853772
29866416,Yersinia pestis Nepal516,YPN_0667,reverse,781308,782705
29866416,Yersinia pestis Pestoides F,YPDSF_2933,reverse,3328750,3330147
29866416,Yersinia pestis Z176003,YPZ3_3018,forward,3875396,3876793
29866416,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_3757,forward,3615407,3616804
29866416,Yersinia pestis biovar Microtus str. 91001,YP_0263,reverse,265038,266438
29866416,Yersinia pseudotuberculosis IP 31758,YpsIP31758_3366,forward,3784377,3785774
29866416,Yersinia pseudotuberculosis IP 32953,YPTB0711,reverse,850381,851778
29866416,Yersinia pseudotuberculosis PB1/+,YPTS_0740,reverse,832037,833434
29866416,Yersinia pseudotuberculosis YPIII,YPK_3494,forward,3840134,3841531
29866678,Yersinia pestis A1122,A1122_11675,reverse,2553098,2554054
29866678,Yersinia pestis Angola,YpAngola_A0412,reverse,427333,428289
29866678,Yersinia pestis Antiqua,YPA_2314,reverse,2592209,2593165
29866678,Yersinia pestis CO92,YPO2874,reverse,3208636,3209592
29866678,Yersinia pestis D106004,YPD4_2255,reverse,2893848,2894804
29866678,Yersinia pestis D182038,YPD8_2434,forward,3096602,3097558
29866678,Yersinia pestis KIM,y1358,forward,1510467,1511423
29866678,Yersinia pestis Nepal516,YPN_1264,forward,1440371,1441327
29866678,Yersinia pestis Pestoides F,YPDSF_2219,reverse,2508855,2509811
29866678,Yersinia pestis Z176003,YPZ3_2454,forward,3171627,3172583
29866678,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_3061,reverse,2959133,2960089
29866678,Yersinia pestis biovar Microtus str. 91001,YP_2740,reverse,3039617,3040573
29866678,Yersinia pseudotuberculosis IP 31758,YpsIP31758_1191,forward,1403434,1404390
29866678,Yersinia pseudotuberculosis IP 32953,YPTB2836,reverse,3350225,3351181
29866678,Yersinia pseudotuberculosis PB1/+,YPTS_2945,reverse,3267685,3268641
29866678,Yersinia pseudotuberculosis YPIII,YPK_1298,forward,1429026,1429982
29866763,Yersinia pestis A1122,A1122_10970,reverse,2409741,2411777
29866763,Yersinia pestis Angola,YpAngola_A2755,forward,2880579,2882615
29866763,Yersinia pestis Antiqua,YPA_2190,forward,2455327,2457363
29866763,Yersinia pestis CO92,YPO3000,forward,3350289,3352325
29866763,Yersinia pestis D106004,YPD4_2629,forward,3347728,3349764
29866763,Yersinia pestis D182038,YPD8_2623,forward,3329654,3331690
29866763,Yersinia pestis KIM,y1480,reverse,1642320,1644356
29866763,Yersinia pestis Nepal516,YPN_1382,reverse,1572243,1574279
29866763,Yersinia pestis Pestoides F,YPDSF_2108,forward,2375927,2377963
29866763,Yersinia pestis Z176003,YPZ3_2643,forward,3404693,3406729
29866763,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_1380,reverse,1361481,1363517
29866763,Yersinia pestis biovar Microtus str. 91001,YP_2625,forward,2908817,2910853
29866763,Yersinia pseudotuberculosis IP 31758,YpsIP31758_1311,reverse,1535407,1537443
29866763,Yersinia pseudotuberculosis IP 32953,YPTB2721,forward,3214876,3216912
29866763,Yersinia pseudotuberculosis PB1/+,YPTS_2821,forward,3132629,3134665
29866763,Yersinia pseudotuberculosis YPIII,YPK_1422,reverse,1570010,1572046
29866908,Yersinia pestis A1122,A1122_13445,forward,2914986,2915936
29866908,Yersinia pestis Angola,YpAngola_A1794,reverse,1858588,1859538
29866908,Yersinia pestis Antiqua,YPA_2028,reverse,2273550,2274500
29866908,Yersinia pestis CO92,YPO2536,reverse,2846500,2847450
29866908,Yersinia pestis D106004,YPD4_2475,forward,3162521,3163471
29866908,Yersinia pestis D182038,YPD8_2170,forward,2762130,2763080
29866908,Yersinia pestis KIM,y1651,forward,1824719,1825669
29866908,Yersinia pestis Nepal516,YPN_2131,reverse,2408284,2409234
29866908,Yersinia pestis Pestoides F,YPDSF_1946,reverse,2196729,2197679
29866908,Yersinia pestis Z176003,YPZ3_2240,reverse,2903127,2904077
29866908,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_1582,forward,1545802,1546752
29866908,Yersinia pestis biovar Microtus str. 91001,YP_2347,reverse,2610579,2611529
29866908,Yersinia pseudotuberculosis IP 31758,YpsIP31758_1475,forward,1716162,1717112
29866908,Yersinia pseudotuberculosis IP 32953,YPTB2568,reverse,3037877,3038827
29866908,Yersinia pseudotuberculosis PB1/+,YPTS_2663,reverse,2955785,2956735
29866908,Yersinia pseudotuberculosis YPIII,YPK_1579,forward,1747561,1748511
29866981,Yersinia pestis A1122,A1122_20410,forward,4385447,4386268
29866981,Yersinia pestis Angola,YpAngola_A1530,forward,1579494,1580315
29866981,Yersinia pestis Antiqua,YPA_1021,forward,1169479,1170300
29866981,Yersinia pestis CO92,YPO1304,forward,1463379,1464200
29866981,Yersinia pestis D106004,YPD4_1153,forward,1476873,1477694
29866981,Yersinia pestis D182038,YPD8_0992,reverse,1296119,1296940
29866981,Yersinia pestis KIM,y2881,reverse,3183531,3184352
29866981,Yersinia pestis Nepal516,YPN_2675,reverse,3019547,3020368
29866981,Yersinia pestis Pestoides F,YPDSF_2393,reverse,2728542,2729363
29866981,Yersinia pestis Z176003,YPZ3_1192,forward,1534765,1535586
29866981,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_2888,reverse,2803879,2804700
29866981,Yersinia pestis biovar Microtus str. 91001,YP_1288,reverse,1409882,1410703
29866981,Yersinia pseudotuberculosis IP 31758,YpsIP31758_2677,reverse,3032375,3033196
29866981,Yersinia pseudotuberculosis IP 32953,YPTB1335,forward,1589475,1590296
29866981,Yersinia pseudotuberculosis PB1/+,YPTS_1430,forward,1587972,1588793
29866981,Yersinia pseudotuberculosis YPIII,YPK_2758,reverse,3043481,3044302
29867095,Yersinia pestis A1122,A1122_18745,reverse,4029002,4029637
29867095,Yersinia pestis Angola,YpAngola_A3201,forward,3392985,3393620
29867095,Yersinia pestis Antiqua,YPA_0729,forward,841182,841817
29867095,Yersinia pestis CO92,YPO1437,forward,1629346,1629981
29867095,Yersinia pestis D106004,YPD4_1277,forward,1640859,1641494
29867095,Yersinia pestis D182038,YPD8_1263,forward,1621355,1621990
29867095,Yersinia pestis KIM,y2733,reverse,3017713,3018435
29867095,Yersinia pestis Nepal516,YPN_2542,reverse,2853778,2854413
29867095,Yersinia pestis Pestoides F,YPDSF_1537,reverse,1735053,1735688
29867095,Yersinia pestis Z176003,YPZ3_1311,forward,1698793,1699428
29867095,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_2724,reverse,2638116,2638751
29867095,Yersinia pestis biovar Microtus str. 91001,YP_1328,forward,1456141,1456863
29867095,Yersinia pseudotuberculosis IP 31758,YpsIP31758_2539,reverse,2871071,2871706
29867095,Yersinia pseudotuberculosis IP 32953,YPTB1455,forward,1748997,1749632
29867095,Yersinia pseudotuberculosis PB1/+,YPTS_1561,forward,1749245,1749880
29867095,Yersinia pseudotuberculosis YPIII,YPK_2628,reverse,2884019,2884654
29867393,Yersinia pestis A1122,A1122_14890,reverse,3232424,3234562
29867393,Yersinia pestis Angola,YpAngola_A2258,forward,2363547,2365685
29867393,Yersinia pestis Antiqua,YPA_1612,forward,1799793,1801931
29867393,Yersinia pestis CO92,YPO2252,forward,2527832,2529970
29867393,Yersinia pestis D106004,YPD4_1978,forward,2524749,2526887
29867393,Yersinia pestis D182038,YPD8_1369,forward,1748830,1750968
29867393,Yersinia pestis KIM,y2093,forward,2304220,2306358
29867393,Yersinia pestis Nepal516,YPN_1721,forward,1936616,1938754
29867393,Yersinia pestis Pestoides F,YPDSF_0882,reverse,1006315,1008453
29867393,Yersinia pestis Z176003,YPZ3_1606,reverse,2083517,2085655
29867393,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_1883,forward,1843113,1845251
29867393,Yersinia pestis biovar Microtus str. 91001,YP_2048,forward,2273849,2275987
29867393,Yersinia pseudotuberculosis IP 31758,YpsIP31758_1889,reverse,2189866,2192004
29867393,Yersinia pseudotuberculosis IP 32953,YPTB2171,forward,2552351,2554489
29867393,Yersinia pseudotuberculosis PB1/+,YPTS_2241,forward,2468845,2470983
29867393,Yersinia pseudotuberculosis YPIII,YPK_2002,reverse,2227141,2229279
29867600,Yersinia pestis A1122,A1122_15285,reverse,3316336,3317352
29867600,Yersinia pestis Angola,YpAngola_A2331,reverse,2445541,2446557
29867600,Yersinia pestis Antiqua,YPA_1531,forward,1717015,1718031
29867600,Yersinia pestis CO92,YPO2173,forward,2445053,2446069
29867600,Yersinia pestis D106004,YPD4_1911,forward,2441956,2442972
29867600,Yersinia pestis D182038,YPD8_1638,reverse,2095027,2096043
29867600,Yersinia pestis KIM,y2148,reverse,2374136,2375152
29867600,Yersinia pestis Nepal516,YPN_1640,forward,1853667,1854683
29867600,Yersinia pestis Pestoides F,YPDSF_0961,reverse,1090173,1091189
29867600,Yersinia pestis Z176003,YPZ3_1672,reverse,2167435,2168451
29867600,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_2136,reverse,2095835,2096851
29867600,Yersinia pestis biovar Microtus str. 91001,YP_1972,forward,2192871,2193887
29867600,Yersinia pseudotuberculosis IP 31758,YpsIP31758_1969,reverse,2271631,2272647
29867600,Yersinia pseudotuberculosis IP 32953,YPTB2099,forward,2472497,2473513
29867600,Yersinia pseudotuberculosis PB1/+,YPTS_2165,forward,2388799,2389815
29867600,Yersinia pseudotuberculosis YPIII,YPK_2078,reverse,2308242,2309258
29867838,Yersinia pestis A1122,A1122_17625,forward,3782286,3783185
29867838,Yersinia pestis Angola,YpAngola_A2839,forward,2979504,2980403
29867838,Yersinia pestis Antiqua,YPA_1873,forward,2107577,2108476
29867838,Yersinia pestis CO92,YPO1650,reverse,1875886,1876788
29867838,Yersinia pestis D106004,YPD4_2086,forward,2678525,2679424
29867838,Yersinia pestis D182038,YPD8_2083,forward,2660372,2661271
29867838,Yersinia pestis KIM,y1812,reverse,1991195,1992118
29867838,Yersinia pestis Nepal516,YPN_1980,forward,2241999,2242898
29867838,Yersinia pestis Pestoides F,YPDSF_1797,forward,2033187,2034086
29867838,Yersinia pestis Z176003,YPZ3_2045,forward,2631384,2632283
29867838,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_1756,reverse,1712243,1713145
29867838,Yersinia pestis biovar Microtus str. 91001,YP_1780,reverse,1972128,1973051
29867838,Yersinia pseudotuberculosis IP 31758,YpsIP31758_1624,reverse,1883582,1884481
29867838,Yersinia pseudotuberculosis IP 32953,YPTB2419,forward,2861029,2861931
29867838,Yersinia pseudotuberculosis PB1/+,YPTS_2501,forward,2777907,2778806
29867838,Yersinia pseudotuberculosis YPIII,YPK_1732,reverse,1920372,1921271
29867912,Yersinia pestis A1122,A1122_11200,forward,2458937,2459539
29867912,Yersinia pestis Angola,YpAngola_A2705,reverse,2833809,2834411
29867912,Yersinia pestis Antiqua,YPA_2146,reverse,2407823,2408425
29867912,Yersinia pestis CO92,YPO2955,reverse,3302403,3303005
29867912,Yersinia pestis D106004,YPD4_2589,reverse,3299808,3300410
29867912,Yersinia pestis D182038,YPD8_2584,reverse,3281733,3282335
29867912,Yersinia pestis KIM,y1528,forward,1691686,1692288
29867912,Yersinia pestis Nepal516,YPN_1425,forward,1621609,1622211
29867912,Yersinia pestis Pestoides F,YPDSF_2064,reverse,2328326,2328928
29867912,Yersinia pestis Z176003,YPZ3_2603,reverse,3356772,3357374
29867912,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_1442,forward,1412693,1413295
29867912,Yersinia pestis biovar Microtus str. 91001,YP_2582,reverse,2861795,2862397
29867912,Yersinia pseudotuberculosis IP 31758,YpsIP31758_1353,forward,1583960,1584562
29867912,Yersinia pseudotuberculosis IP 32953,YPTB2680,reverse,3167717,3168319
29867912,Yersinia pseudotuberculosis PB1/+,YPTS_2778,reverse,3085560,3086162
29867912,Yersinia pseudotuberculosis YPIII,YPK_1465,forward,1618395,1618997
29868013,Yersinia pestis A1122,A1122_01495,reverse,330605,331633
29868013,Yersinia pestis Angola,YpAngola_A0236,reverse,249104,250132
29868013,Yersinia pestis Antiqua,YPA_3080,reverse,3419437,3420465
29868013,Yersinia pestis CO92,YPO0712,forward,773659,774687
29868013,Yersinia pestis D106004,YPD4_0620,forward,767385,768413
29868013,Yersinia pestis D182038,YPD8_0620,forward,769544,770572
29868013,Yersinia pestis KIM,y3466,reverse,3848537,3849565
29868013,Yersinia pestis Nepal516,YPN_0570,forward,682522,683550
29868013,Yersinia pestis Pestoides F,YPDSF_0496,forward,554491,555519
29868013,Yersinia pestis Z176003,YPZ3_0666,forward,825204,826232
29868013,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_3860,reverse,3713916,3714944
29868013,Yersinia pestis biovar Microtus str. 91001,YP_3024,forward,3364861,3365889
29868013,Yersinia pseudotuberculosis IP 31758,YpsIP31758_0629,forward,739894,740922
29868013,Yersinia pseudotuberculosis IP 32953,YPTB3350,reverse,3980919,3981947
29868013,Yersinia pseudotuberculosis PB1/+,YPTS_3486,reverse,3892269,3893297
29868013,Yersinia pseudotuberculosis YPIII,YPK_0709,forward,771158,772186
29868507,Yersinia pestis A1122,A1122_09200,reverse,2026441,2026782
29868507,Yersinia pestis Angola,YpAngola_A0944,forward,968102,968443
29868507,Yersinia pestis Antiqua,YPA_2798,reverse,3119082,3119423
29868507,Yersinia pestis CO92,YPO3346,forward,3732530,3732871
29868507,Yersinia pestis D106004,YPD4_2931,forward,3723326,3723667
29868507,Yersinia pestis D182038,YPD8_2929,forward,3709370,3709711
29868507,Yersinia pestis KIM,y0845,reverse,945713,946054
29868507,Yersinia pestis Nepal516,YPN_0748,reverse,874690,875031
29868507,Yersinia pestis Pestoides F,YPDSF_3015,reverse,3421891,3422232
29868507,Yersinia pestis Z176003,YPZ3_2944,forward,3783113,3783454
29868507,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_3664,forward,3523076,3523417
29868507,Yersinia pestis biovar Microtus str. 91001,YP_0341,reverse,358339,358680
29868507,Yersinia pseudotuberculosis IP 31758,YpsIP31758_3281,forward,3692886,3693227
29868507,Yersinia pseudotuberculosis IP 32953,YPTB0786,reverse,944652,944993
29868507,Yersinia pseudotuberculosis PB1/+,YPTS_0820,reverse,924888,925229
29868507,Yersinia pseudotuberculosis YPIII,YPK_3415,forward,3747472,3747813
29868515,Yersinia pestis A1122,A1122_00550,forward,123629,125047
29868515,Yersinia pestis Angola,YpAngola_A3844,forward,4079970,4081388
29868515,Yersinia pestis Antiqua,YPA_0374,forward,437207,438625
29868515,Yersinia pestis CO92,YPO0895,reverse,980227,981645
29868515,Yersinia pestis D106004,YPD4_0785,forward,1014397,1015815
29868515,Yersinia pestis D182038,YPD8_0780,forward,1016372,1017790
29868515,Yersinia pestis KIM,y3279,reverse,3610259,3611677
29868515,Yersinia pestis Nepal516,YPN_3094,reverse,3478082,3479500
29868515,Yersinia pestis Pestoides F,YPDSF_0621,forward,699603,701021
29868515,Yersinia pestis Z176003,YPZ3_0828,forward,1072253,1073671
29868515,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_0913,forward,925691,927109
29868515,Yersinia pestis biovar Microtus str. 91001,YP_3591,reverse,4085168,4086586
29868515,Yersinia pseudotuberculosis IP 31758,YpsIP31758_0876,forward,1057957,1059390
29868515,Yersinia pseudotuberculosis IP 32953,YPTB3170,reverse,3728163,3729581
29868515,Yersinia pseudotuberculosis PB1/+,YPTS_3301,reverse,3641851,3643269
29868515,Yersinia pseudotuberculosis YPIII,YPK_0879,forward,1005158,1006591
29868575,Yersinia pestis A1122,A1122_09195,reverse,2025067,2026356
29868575,Yersinia pestis Angola,YpAngola_A0945,forward,968528,969817
29868575,Yersinia pestis Antiqua,YPA_2797,reverse,3117708,3118997
29868575,Yersinia pestis CO92,YPO3347,forward,3732956,3734245
29868575,Yersinia pestis D106004,YPD4_2932,forward,3723752,3725041
29868575,Yersinia pestis D182038,YPD8_2930,forward,3709796,3711085
29868575,Yersinia pestis KIM,y0844,reverse,944339,945628
29868575,Yersinia pestis Nepal516,YPN_0747,reverse,873316,874605
29868575,Yersinia pestis Pestoides F,YPDSF_3014,reverse,3420517,3421806
29868575,Yersinia pestis Z176003,YPZ3_2945,forward,3783539,3784828
29868575,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_3665,forward,3523502,3524791
29868575,Yersinia pestis biovar Microtus str. 91001,YP_0340,reverse,356965,358254
29868575,Yersinia pseudotuberculosis IP 31758,YpsIP31758_3282,forward,3693312,3694601
29868575,Yersinia pseudotuberculosis IP 32953,YPTB0785,reverse,943278,944567
29868575,Yersinia pseudotuberculosis PB1/+,YPTS_0819,reverse,923514,924803
29868575,Yersinia pseudotuberculosis YPIII,YPK_3416,forward,3747898,3749187
29868635,Yersinia pestis A1122,A1122_01615,forward,352685,353971
29868635,Yersinia pestis Angola,YpAngola_A0260,forward,270437,271723
29868635,Yersinia pestis Antiqua,YPA_3102,forward,3440797,3442083
29868635,Yersinia pestis CO92,YPO0690,reverse,751331,752617
29868635,Yersinia pestis D106004,YPD4_0600,reverse,745038,746324
29868635,Yersinia pestis D182038,YPD8_0600,reverse,747216,748502
29868635,Yersinia pestis KIM,y3487,forward,3869915,3871201
29868635,Yersinia pestis Nepal516,YPN_0547,reverse,660869,662155
29868635,Yersinia pestis Pestoides F,YPDSF_0474,reverse,532892,534178
29868635,Yersinia pestis Z176003,YPZ3_0646,reverse,802875,804119
29868635,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_3884,forward,3735275,3736561
29868635,Yersinia pestis biovar Microtus str. 91001,YP_3005,reverse,3343273,3344559
29868635,Yersinia pseudotuberculosis IP 31758,YpsIP31758_0599,reverse,702724,704010
