Seq_id	Size	Description
1	4553770	gi|384137007|ref|NC_017168.1|
2	4504254	gi|162418099|ref|NC_010159.1|
3	4702289	gi|108777911|gb|CP000308.1|
4	4532063	gi|384412706|ref|NC_017265.1|
5	4595065	gi|45439865|ref|NC_005810.1|
6	4653728	gi|30407161|emb|AL590842.1|
7	4640720	gi|384120592|ref|NC_017154.1|
8	4626944	gi|384124469|ref|NC_017160.1|
9	4600755	gi|22123922|ref|NC_004088.1|
10	4534590	gi|108773814|gb|CP000305.1|
11	4517345	gi|145597324|ref|NC_009381.1|
12	4553586	gi|294352569|gb|CP001593.1|
--------------------------------------------------------------------------------
Block #1
Seq_id	Strand	Start	End	Length
Seq_id	Strand	Start	End	Length
1	-	2090068	2084728	5341
2	+	904324	909664	5341
3	-	3178390	3173050	5341
4	+	3462295	3467635	5341
5	-	417470	412425	5046
6	+	3671899	3677239	5341
7	+	3662672	3668013	5342
8	+	3648584	3653924	5341
9	-	1006664	1001324	5341
10	-	937600	932260	5341
11	-	3481003	3475958	5046
12	+	3722326	3727666	5341
--------------------------------------------------------------------------------
Block #4
Seq_id	Strand	Start	End	Length
1	+	2910965	2934145	23181
2	-	1863559	1840342	23218
3	-	2278521	2255341	23181
4	+	1541781	1564960	23180
5	-	2615550	2592358	23193
6	-	2851471	2828291	23181
7	+	3158500	3181681	23182
8	+	2758109	2781291	23183
9	+	1820698	1843907	23210
10	-	2413255	2390075	23181
11	-	2201700	2178496	23205
12	-	2908098	2884918	23181
--------------------------------------------------------------------------------
Block #5
Seq_id	Strand	Start	End	Length
1	+	1668610	1758927	90318
2	-	1289405	1197780	91626
3	+	4079495	4169801	90307
4	-	4249796	4159476	90321
5	-	4460349	4370263	90087
6	+	4044442	4134759	90318
7	+	3936498	4026817	90320
8	-	4065917	3975599	90319
9	-	258849	168529	90321
10	-	4045669	3955332	90338
11	+	260287	350577	90291
12	+	3996384	4086703	90320
--------------------------------------------------------------------------------
Block #6
Seq_id	Strand	Start	End	Length
1	+	793206	831357	38152
2	-	682997	644153	38845
3	+	4480949	4519100	38152
4	+	684342	722493	38152
5	-	493600	453480	40121
6	-	312608	273746	38863
7	-	308946	270794	38153
8	-	310982	272831	38152
9	-	638728	600577	38152
10	+	3833017	3871168	38152
11	+	4211477	4249638	38162
12	-	308952	270801	38152
--------------------------------------------------------------------------------
Block #7
Seq_id	Strand	Start	End	Length
1	-	3753033	3729718	23316
2	+	3732711	3756011	23301
3	-	2076369	2052899	23471
4	+	1742489	1765828	23340
5	+	2003658	2027382	23725
6	+	1906053	1929368	23316
7	-	2649243	2625920	23324
8	-	2631089	2607762	23328
9	+	2021370	2044709	23340
10	-	2212716	2189380	23337
11	-	2003886	1980566	23321
12	-	2602100	2578753	23348
--------------------------------------------------------------------------------
Block #8
Seq_id	Strand	Start	End	Length
1	+	1566202	1581419	15218
2	+	472911	488128	15218
3	-	4052742	4037525	15218
4	+	483498	498715	15218
5	-	3456333	3441097	15237
6	-	4195650	4180433	15218
7	-	4182503	4167284	15220
8	-	4168531	4153313	15219
9	+	550065	565282	15218
10	+	278049	293266	15218
11	-	4300178	4284955	15224
12	-	4242444	4227225	15220
--------------------------------------------------------------------------------
Block #9
Seq_id	Strand	Start	End	Length
1	-	443084	414579	28506
2	-	1105540	1075708	29833
3	-	3532674	3502840	29835
4	-	3825134	3795301	29834
5	+	3253598	3283429	29832
6	+	660766	690600	29835
7	+	656426	686261	29836
8	+	658613	688446	29834
9	-	3959773	3929939	29835
10	+	572300	602130	29831
11	+	442722	472567	29846
12	+	714285	744109	29825
--------------------------------------------------------------------------------
Block #10
Seq_id	Strand	Start	End	Length
1	-	97524	91762	5763
2	-	4053885	4048117	5769
3	-	409129	403380	5750
4	-	899588	893826	5763
5	-	4010879	4005117	5763
6	+	1007750	1013512	5763
7	-	988292	982531	5762
8	-	990268	984506	5763
9	+	3637758	3643520	5763
10	+	3505605	3511367	5763
11	-	672771	667009	5763
12	-	1046148	1040386	5763
--------------------------------------------------------------------------------
Block #11
Seq_id	Strand	Start	End	Length
1	-	1147917	1139997	7921
2	+	4462369	4470289	7921
3	+	4660404	4668324	7921
4	+	4490183	4498103	7921
5	+	4552939	4560859	7921
6	+	4611842	4619762	7921
7	+	4598832	4606754	7923
8	+	4585060	4592979	7920
9	+	4558620	4566540	7921
10	+	4492864	4500624	7761
11	-	7924	1	7924
12	+	4511700	4519620	7921
--------------------------------------------------------------------------------
Block #12
Seq_id	Strand	Start	End	Length
1	-	645278	635287	9992
2	-	854753	844777	9977
3	-	4333490	4323501	9990
4	-	4025364	4015373	9992
5	-	4266488	4256493	9996
6	+	458577	468568	9992
7	+	454222	464213	9992
8	+	456412	466403	9992
9	-	4161981	4151989	9993
10	+	377786	387777	9992
11	-	3640377	3630473	9905
12	+	512070	522061	9992
--------------------------------------------------------------------------------
Block #13
Seq_id	Strand	Start	End	Length
1	+	2004023	2072719	68697
2	-	990844	921573	69272
3	+	3096638	3165350	68713
4	-	3545866	3477144	68723
5	+	335916	403932	68017
6	-	3755282	3686593	68690
7	-	3746102	3677389	68714
8	-	3732139	3663435	68705
9	+	923268	991986	68719
10	+	852255	920963	68709
11	+	3399479	3467487	68009
12	-	3805898	3737176	68723
--------------------------------------------------------------------------------
Block #14
Seq_id	Strand	Start	End	Length
1	-	1191064	1149462	41603
2	+	3991082	4032645	41564
3	-	3378506	3335152	43355
4	+	4447038	4488638	41601
5	+	4509779	4551362	41584
6	+	4568695	4610297	41603
7	+	4555686	4597287	41602
8	+	4541921	4583523	41603
9	+	4515482	4557083	41602
10	+	4244274	4285875	41602
11	-	51069	9469	41601
12	+	4468554	4510155	41602
--------------------------------------------------------------------------------
Block #15
Seq_id	Strand	Start	End	Length
1	+	3852074	3879976	27903
2	+	1731999	1759867	27869
3	-	1018928	991025	27904
4	+	2462980	2490883	27904
5	-	1632468	1604563	27906
6	-	1806997	1779095	27903
7	-	1821647	1793745	27903
8	+	1959796	1987699	27904
9	+	2842632	2870488	27857
10	+	2677935	2705837	27903
11	+	1559149	1587051	27903
12	-	1879555	1851653	27903
--------------------------------------------------------------------------------
Block #16
Seq_id	Strand	Start	End	Length
1	+	2974722	3013786	39065
2	-	1801749	1762989	38761
3	-	2219429	2180487	38943
4	+	1605468	1644234	38767
5	-	2557306	2518571	38736
6	-	2787714	2748647	39068
7	-	2787186	2748161	39026
8	+	2821857	2860869	39013
9	+	1884387	1923184	38798
10	-	2349567	2310908	38660
11	-	2139920	2100941	38980
12	-	2740036	2701018	39019
--------------------------------------------------------------------------------
Block #17
Seq_id	Strand	Start	End	Length
1	-	1079831	1066266	13566
2	+	26131	39826	13696
3	-	3933670	3919395	14276
4	-	4095986	4082424	13563
5	+	25996	39561	13566
6	+	26201	39766	13566
7	+	26199	39764	13566
8	+	26259	39824	13566
9	-	4232611	4219046	13566
10	+	307187	320752	13566
11	-	4457315	4444330	12986
12	+	26200	39765	13566
--------------------------------------------------------------------------------
Block #18
Seq_id	Strand	Start	End	Length
1	+	2149784	2200426	50643
2	-	3531092	3482674	48419
3	-	3043860	2993219	50642
4	-	3404554	3352460	52095
5	+	746135	794677	48543
6	-	3612182	3561541	50642
7	-	3604970	3556288	48683
8	-	3588867	3540185	48683
9	+	1066383	1114941	48559
10	+	993684	1042081	48398
11	-	3256153	3207761	48393
12	-	3662669	3613987	48683
--------------------------------------------------------------------------------
Block #19
Seq_id	Strand	Start	End	Length
1	+	1001253	1065304	64052
2	-	107164	40462	66703
3	+	3854381	3918433	64053
4	-	238937	174884	64054
5	-	106519	40523	65997
6	-	103840	40728	63113
7	-	104779	40726	64054
8	-	104840	40786	64055
9	+	56600	120648	64049
10	+	4309017	4373069	64053
11	+	4379304	4443368	64065
12	-	104779	40727	64053
--------------------------------------------------------------------------------
Block #20
Seq_id	Strand	Start	End	Length
1	+	102136	168965	66830
2	+	4058497	4125148	66652
3	+	415714	484507	68794
4	+	904200	971037	66838
5	-	4108095	4041267	66829
6	-	1003137	936309	66829
7	+	992904	1059735	66832
8	+	994880	1061710	66831
9	-	3633145	3566332	66814
10	-	3500992	3434155	66838
11	+	678373	744955	66583
12	+	1051039	1117592	66554
--------------------------------------------------------------------------------
Block #21
Seq_id	Strand	Start	End	Length
1	-	2874657	2816243	58415
2	-	1954810	1896255	58556
3	-	2822842	2762587	60256
4	-	3185670	3126811	58860
5	-	1231129	1172593	58537
6	+	2887778	2946193	58416
7	-	3122162	3063640	58523
8	+	2869089	2927438	58350
9	+	1283686	1342325	58640
10	+	1213570	1272236	58667
11	-	3040836	2981836	59001
12	+	2944714	3002775	58062
--------------------------------------------------------------------------------
Block #22
Seq_id	Strand	Start	End	Length
1	+	2112997	2134756	21760
2	-	3684433	3662978	21456
3	-	3080424	3058697	21728
4	-	3439367	3417623	21745
5	+	709339	731098	21760
6	-	3648970	3627211	21760
7	-	3641761	3619999	21763
8	-	3625654	3603896	21759
9	+	1029593	1051352	21760
10	+	958570	980329	21760
11	-	3300771	3278996	21776
12	-	3699457	3677698	21760
--------------------------------------------------------------------------------
Block #23
Seq_id	Strand	Start	End	Length
1	+	3608914	3621243	12330
2	-	2093230	2081396	11835
3	-	1333239	1320910	12330
4	+	2384909	2397238	12330
5	+	1737201	1749244	12044
6	-	2052131	2039802	12330
7	-	2051498	2039169	12330
8	+	2486973	2499256	12284
9	+	2764585	2776914	12330
10	+	2599855	2612184	12330
11	+	1484012	1495813	11802
12	+	2457966	2470295	12330
--------------------------------------------------------------------------------
Block #24
Seq_id	Strand	Start	End	Length
1	+	3666527	3679386	12860
2	+	1714925	1727688	12764
3	-	1273674	1260836	12839
4	+	2442529	2455387	12859
5	-	1649397	1636505	12893
6	-	1992559	1979700	12860
7	-	1993886	1981319	12568
8	+	2544587	2557447	12861
9	+	2822198	2835039	12842
10	+	2657483	2670342	12860
11	+	1541213	1553834	12622
12	+	2515579	2528438	12860
--------------------------------------------------------------------------------
Block #25
Seq_id	Strand	Start	End	Length
1	-	2357419	2334143	23277
2	-	3335282	3311743	23540
3	+	2511629	2535184	23556
4	-	1309168	1285613	23556
5	+	2960700	2984248	23549
6	+	3404647	3427923	23277
7	+	3402013	3425291	23279
8	+	3384006	3407282	23277
9	-	1590006	1566451	23556
10	-	1519928	1496373	23556
11	+	2430265	2453821	23557
12	+	3459051	3482327	23277
--------------------------------------------------------------------------------
Block #26
Seq_id	Strand	Start	End	Length
1	+	490602	515602	25001
2	+	3053705	3078599	24895
3	+	3949850	3974850	25001
4	-	3948775	3923774	25002
5	+	4114385	4139462	25078
6	-	613248	588247	25002
7	-	608907	583896	25012
8	-	611096	586071	25026
9	+	4007291	4032291	25001
10	-	530532	505531	25002
11	+	3487861	3512561	24701
12	-	666767	642041	24727
--------------------------------------------------------------------------------
Block #27
Seq_id	Strand	Start	End	Length
1	+	4038568	4088660	50093
2	+	1619431	1670889	51459
3	+	714532	764581	50050
4	-	2765335	2715267	50069
5	-	1371321	1321259	50063
6	+	1504695	1554787	50093
7	+	1516228	1566284	50057
8	-	1257581	1207512	50070
9	-	3144995	3094911	50085
10	-	2981012	2930913	50100
11	-	2689326	2639283	50044
12	+	1574123	1624207	50085
--------------------------------------------------------------------------------
Block #28
Seq_id	Strand	Start	End	Length
1	+	780390	787413	7024
2	-	1360485	1353462	7024
3	+	4468077	4475156	7080
4	+	671526	678556	7031
5	-	506430	499393	7038
6	-	325424	318401	7024
7	-	321813	314739	7075
8	-	323819	316775	7045
9	-	651573	644515	7059
10	+	3820173	3827224	7052
11	+	4198641	4205685	7045
12	-	321810	314745	7066
--------------------------------------------------------------------------------
Block #29
Seq_id	Strand	Start	End	Length
1	-	2909417	2879025	30393
2	+	1865107	1895480	30374
3	+	2280069	2310447	30379
4	-	1540233	1509818	30416
5	+	2617098	2647502	30405
6	+	2853019	2883411	30393
7	-	3156952	3126530	30423
8	-	2756561	2726162	30400
9	-	1819150	1788751	30400
10	+	2414803	2445225	30423
11	+	2203248	2233623	30376
12	+	2909646	2940053	30408
--------------------------------------------------------------------------------
Block #30
Seq_id	Strand	Start	End	Length
1	-	2816219	2806392	9828
2	+	346695	355998	9304
3	-	2762586	2752753	9834
4	-	3126810	3116977	9834
5	-	1172592	1163340	9253
6	+	2946194	2956044	9851
7	-	3063639	3053806	9834
8	+	2927439	2937605	10167
9	+	1342326	1352333	10008
10	+	1272237	1282257	10021
11	-	2981808	2972869	8940
12	+	3002776	3012627	9852
--------------------------------------------------------------------------------
Block #31
Seq_id	Strand	Start	End	Length
1	+	738478	780389	41912
2	+	727635	769628	41994
3	+	4424772	4468076	43305
4	+	630200	671525	41326
5	-	547776	506431	41346
6	-	367336	325425	41912
7	-	363137	321814	41324
8	-	365144	323820	41325
9	-	692898	651574	41325
10	+	3778883	3820172	41290
11	+	4157339	4198640	41302
12	-	420960	321811	99150
--------------------------------------------------------------------------------
Block #32
Seq_id	Strand	Start	End	Length
1	-	884746	862605	22142
2	+	603526	626696	23171
3	-	3605842	3583701	22142
4	+	148057	170197	22141
5	+	219069	241209	22141
6	+	220357	242497	22141
7	+	217358	239500	22143
8	+	219397	241537	22141
9	+	4441461	4463601	22141
10	-	4399896	4378049	21848
11	+	146868	169008	22141
12	+	217366	239506	22141
--------------------------------------------------------------------------------
Block #33
Seq_id	Strand	Start	End	Length
1	-	3131301	3126117	5185
2	-	2507998	2502812	5187
3	+	1894838	1900022	5185
4	+	1937446	1942630	5185
5	+	2369594	2374778	5185
6	+	2631125	2636309	5185
7	+	2619277	2624461	5185
8	+	1843378	1848562	5185
9	-	2195874	2190690	5185
10	+	2033275	2038459	5185
11	-	912453	907269	5185
12	-	1993305	1988121	5185
--------------------------------------------------------------------------------
Block #34
Seq_id	Strand	Start	End	Length
1	-	3151742	3131331	20412
2	-	2318053	2297661	20393
3	+	1874410	1894808	20399
4	+	1916987	1937416	20430
5	+	2349157	2369564	20408
6	+	2610684	2631095	20412
7	+	2598854	2619247	20394
8	+	1822919	1843348	20430
9	-	2216333	2195904	20430
10	+	2012816	2033245	20430
11	-	932894	912483	20412
12	-	2013764	1993335	20430
--------------------------------------------------------------------------------
Block #35
Seq_id	Strand	Start	End	Length
1	+	568928	583991	15064
2	+	777690	792157	14468
3	-	4613164	4598101	15064
4	-	3872410	3857347	15064
5	+	4190823	4205289	14467
6	-	534927	519864	15064
7	-	530572	515509	15064
8	-	532761	517698	15064
9	+	4083676	4098739	15064
10	-	454130	439067	15064
11	+	3565544	3579997	14454
12	-	588421	573358	15064
--------------------------------------------------------------------------------
Block #36
Seq_id	Strand	Start	End	Length
1	-	2970873	2949796	21078
2	+	1805604	1826678	21075
3	+	2223278	2244356	21079
4	-	1601619	1580611	21009
5	+	2557634	2578694	21061
6	+	2791563	2812640	21078
7	+	2791035	2812113	21079
8	-	2818008	2796942	21067
9	-	1880538	1859530	21009
10	+	2353416	2374424	21009
11	+	2143769	2164848	21080
12	+	2743885	2764963	21079
--------------------------------------------------------------------------------
Block #37
Seq_id	Strand	Start	End	Length
1	-	3728755	3690139	38617
2	-	2803631	2764527	39105
3	-	2051936	2013348	38589
4	-	2090238	2051640	38599
5	+	1898897	1937461	38565
6	+	1930331	1968947	38617
7	+	1931656	1970272	38617
8	-	2606799	2568197	38603
9	+	2045672	2084252	38581
10	-	2188417	2149783	38635
11	-	1979603	1940915	38689
12	-	2577790	2539191	38600
--------------------------------------------------------------------------------
Block #38
Seq_id	Strand	Start	End	Length
1	-	4037109	4032052	5058
2	+	2013297	2018354	5058
3	+	833710	838767	5058
4	-	2646223	2641166	5058
5	+	938064	943121	5058
6	+	1621874	1626931	5058
7	+	1633387	1638444	5058
8	+	1613883	1618940	5058
9	-	3025820	3020763	5058
10	-	2861885	2856828	5058
11	-	1743161	1738104	5058
12	+	1691321	1696378	5058
--------------------------------------------------------------------------------
Block #39
Seq_id	Strand	Start	End	Length
1	-	2485397	2476944	8454
2	-	3019824	3011392	8433
3	+	2381965	2390418	8454
4	-	1439171	1430718	8454
5	-	3069353	3060900	8454
6	+	3276545	3284998	8454
7	+	3273950	3282403	8454
8	+	3255875	3264328	8454
9	-	1718164	1709711	8454
10	-	1648086	1639633	8454
11	+	2302455	2310908	8454
12	+	3330914	3339367	8454
--------------------------------------------------------------------------------
Block #40
Seq_id	Strand	Start	End	Length
1	+	198820	220774	21955
2	-	3480601	3458650	21952
3	+	514346	536292	21947
4	+	1000908	1022854	21947
5	+	3142950	3164883	21934
6	-	906454	884508	21947
7	+	1089607	1111554	21948
8	+	1092278	1114226	21949
9	-	3536478	3514524	21955
10	-	3404316	3382370	21947
11	+	774796	796732	21937
12	+	1147463	1169409	21947
--------------------------------------------------------------------------------
Block #41
Seq_id	Strand	Start	End	Length
1	+	3215506	3268760	53255
2	-	2382603	2329215	53389
3	-	1818848	1765586	53263
4	-	1862169	1808777	53393
5	-	2292794	2239492	53303
6	-	2546888	2493634	53255
7	-	2543806	2490542	53265
8	-	1767887	1714607	53281
9	-	2323276	2269894	53383
10	-	1956993	1902461	54533
11	+	989401	1042653	53253
12	+	2066599	2119863	53265
--------------------------------------------------------------------------------
Block #42
Seq_id	Strand	Start	End	Length
1	-	568927	560862	8066
2	-	777689	769632	8058
3	-	4028224	4020168	8057
4	+	3872411	3880476	8066
5	-	4190822	4182757	8066
6	+	534928	542993	8066
7	+	530573	538638	8066
8	+	532762	540827	8066
9	-	4083675	4075610	8066
10	+	454131	462196	8066
11	-	3565543	3557478	8066
12	+	588422	596487	8066
--------------------------------------------------------------------------------
Block #43
Seq_id	Strand	Start	End	Length
1	-	2475717	2362280	113438
2	+	2817613	2930063	112451
3	+	2391645	2506768	115124
4	-	1429491	1314029	115463
5	+	2845598	2958308	112711
6	+	3286225	3399786	113562
7	+	3283630	3397152	113523
8	+	3265555	3379145	113591
9	-	1708484	1594867	113618
10	-	1638407	1524789	113619
11	+	2312135	2425410	113276
12	+	3340594	3454190	113597
--------------------------------------------------------------------------------
Block #44
Seq_id	Strand	Start	End	Length
1	+	3439130	3520523	81394
2	+	2552050	2628734	76685
3	-	1607156	1526292	80865
4	+	2218332	2296504	78173
5	-	2105250	2028841	76410
6	-	2322851	2241293	81559
7	-	2319779	2240855	78925
8	+	2218156	2297065	78910
9	+	2496637	2575550	78914
10	-	1731475	1652590	78886
11	+	1211206	1292176	80971
12	+	2290657	2369546	78890
--------------------------------------------------------------------------------
Block #45
Seq_id	Strand	Start	End	Length
1	-	3295800	3291725	4076
2	-	2251534	2247452	4083
3	+	1738556	1742638	4083
4	+	1781730	1785812	4083
5	+	2212462	2216544	4083
6	+	2466594	2470669	4076
7	+	2463495	2467576	4082
8	-	2074502	2070420	4083
9	+	2242829	2246911	4083
10	+	1875217	1879299	4083
11	-	1070276	1066194	4083
12	-	2146910	2142828	4083
--------------------------------------------------------------------------------
Block #46
Seq_id	Strand	Start	End	Length
1	+	2279471	2295068	15598
2	+	3032438	3048037	15600
3	-	2914170	2898573	15598
4	-	3276088	3260494	15595
5	+	871103	886699	15597
6	-	3482498	3466900	15599
7	-	3479909	3464312	15598
8	-	3461909	3446312	15598
9	+	1193274	1208871	15598
10	+	1121124	1136721	15598
11	-	3130641	3115046	15596
12	-	3536902	3521305	15598
--------------------------------------------------------------------------------
Block #47
Seq_id	Strand	Start	End	Length
1	-	3664104	3628205	35900
2	-	1712502	1674807	37696
3	+	1276097	1313947	37851
4	-	2440105	2404200	35906
5	-	1792202	1756206	35997
6	+	1996941	2032840	35900
7	+	1996309	2032208	35900
8	-	2542164	2506265	35900
9	-	2819774	2783876	35899
10	-	2655059	2619146	35914
11	-	1538790	1502775	36016
12	-	2513156	2477257	35900
--------------------------------------------------------------------------------
Block #48
Seq_id	Strand	Start	End	Length
1	+	12293	18935	6643
2	-	194669	188033	6637
3	+	325165	331802	6638
4	+	816271	822903	6633
5	+	3926261	3932899	6639
6	-	1092981	1086339	6643
7	+	910002	916639	6638
8	+	912111	918748	6638
9	-	3721083	3714446	6638
10	-	3588955	3582323	6633
11	+	594447	601085	6639
12	+	967850	974487	6638
--------------------------------------------------------------------------------
Block #49
Seq_id	Strand	Start	End	Length
1	+	308689	406975	98287
2	+	228026	324330	96305
3	+	3396237	3495236	99000
4	+	3692648	3789656	97009
5	-	3387167	3290398	96770
6	-	796603	698204	98400
7	-	790383	691906	98478
8	-	792541	694093	98449
9	+	3827287	3924294	97008
10	-	704818	607775	97044
11	-	576757	480171	96587
12	-	848203	749754	98450
--------------------------------------------------------------------------------
Block #50
Seq_id	Strand	Start	End	Length
1	-	857921	831358	26564
2	-	4204093	4177530	26564
3	-	4545664	4519101	26564
4	-	749058	722494	26565
5	+	426895	453479	26585
6	+	247182	273745	26564
7	+	244185	270793	26609
8	+	246221	272830	26610
9	+	574015	600576	26562
10	-	3897733	3871169	26565
11	-	4276222	4249639	26584
12	+	244191	270800	26610
--------------------------------------------------------------------------------
Block #51
Seq_id	Strand	Start	End	Length
1	-	3283501	3268761	14741
2	-	2432835	2417605	15231
3	+	1750862	1765585	14724
4	+	1794036	1808776	14741
5	+	2224768	2239491	14724
6	+	2478893	2493633	14741
7	+	2475801	2490541	14741
8	+	1699863	1714606	14744
9	+	2255136	2269893	14758
10	+	1887523	1902280	14758
11	-	1057976	1042654	15323
12	-	2134604	2119864	14741
--------------------------------------------------------------------------------
Block #52
Seq_id	Strand	Start	End	Length
1	-	703309	694933	8377
2	+	1290537	1298913	8377
3	-	4389560	4381184	8377
4	-	4081463	4073087	8377
5	-	4322383	4314001	8383
6	+	402505	410881	8377
7	+	398157	406533	8377
8	+	400357	408733	8377
9	-	4218085	4209709	8377
10	+	321713	330089	8377
11	-	3696498	3688122	8377
12	+	456005	464381	8377
--------------------------------------------------------------------------------
Block #53
Seq_id	Strand	Start	End	Length
1	-	792128	787475	4654
2	+	684075	688704	4630
3	-	4479871	4475218	4654
4	-	683264	678618	4647
5	+	494678	499331	4654
6	+	313686	318339	4654
7	+	310024	314677	4654
8	+	312060	316713	4654
9	+	639806	644453	4648
10	-	3831939	3827286	4654
11	-	4210400	4205747	4654
12	+	310030	314683	4654
--------------------------------------------------------------------------------
Block #54
Seq_id	Strand	Start	End	Length
1	+	1341982	1360670	18689
2	-	4144700	4125857	18844
3	+	108201	126839	18639
4	+	261186	280043	18858
5	+	3472900	3491752	18853
6	-	4418004	4399146	18859
7	-	4404833	4385974	18860
8	-	4390966	4372108	18859
9	+	327684	346542	18859
10	+	55746	74604	18859
11	-	4072756	4053898	18859
12	-	4464396	4445537	18860
--------------------------------------------------------------------------------
Block #55
Seq_id	Strand	Start	End	Length
1	+	1375204	1485316	110113
2	+	493309	603373	110065
3	+	141373	250904	109532
4	+	294577	402677	108101
5	+	3506286	3613092	106807
6	-	4384613	4276522	108092
7	-	4371440	4263311	108130
8	-	4357515	4249409	108107
9	+	361076	469227	108152
10	+	89138	197195	108058
11	-	4039364	3932475	106890
12	-	4431003	4323392	107612
--------------------------------------------------------------------------------
Block #56
Seq_id	Strand	Start	End	Length
1	-	2643852	2621500	22353
2	+	1955489	1977849	22361
3	+	2824844	2847196	22353
4	+	3186770	3209124	22355
5	+	1231808	1254159	22352
6	+	3118572	3140924	22353
7	-	3205651	3183299	22353
8	-	3187596	3165245	22352
9	-	1282586	1260234	22353
10	-	1212470	1190118	22353
11	+	3041515	3063809	22295
12	-	3262635	3240282	22354
--------------------------------------------------------------------------------
Block #57
Seq_id	Strand	Start	End	Length
1	-	620728	583992	36737
2	-	829211	792158	37054
3	+	4561364	4598100	36737
4	-	4000819	3964084	36736
5	-	4241911	4205290	36622
6	+	483126	519863	36738
7	+	478771	515508	36738
8	+	480962	517697	36736
9	-	4135476	4098740	36737
10	+	402330	439066	36737
11	-	3615910	3580189	35722
12	+	536913	573357	36445
--------------------------------------------------------------------------------
Block #58
Seq_id	Strand	Start	End	Length
1	+	2212933	2220029	7097
2	+	3346773	3353869	7097
3	-	2980713	2973608	7106
4	-	3340666	3333570	7097
5	+	806491	813587	7097
6	-	3549034	3541938	7097
7	-	3544492	3537397	7096
8	-	3526452	3519356	7097
9	+	1126736	1133387	6652
